"Category","Name","UUID","Url"
"Aggretsuko","Tsubone","2eb343d0-8d6e-11e9-9f0b-0e41a336d5f6","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABZ9qpfYICrqVZt3-H67rGzK0vPM0hGfMUJxiwSA69B6mqqtuT16PinlwMEV-hyg8w9wP4l2vZrrgWc5LiyT6XDoFP4GrshXjyg.png?r=63e"
"Aggretsuko","Ton","2eb343d1-8d6e-11e9-9f0b-0e41a336d5f6","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABfS-RBhHeqSCtQ777J98eEK-2JfZUWpM6Ta51Bwt35YS0r48CvaI4wcm3D8MM1UTXzWqkLIWomhsKvq_SxdHaKRk0e4TtQ_fQA.png?r=81b"
"Aggretsuko","Komiya","2eab0670-8d6e-11e9-9f0b-0e41a336d5f6","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABYBkqfUlBvBc0-LNTd4FGyIwU7ybIASJ0gIMvcfDYLJAy2znhV6Ays2fR1NbQv2n5wOhDw_8oXwkUVyRt1LoPQRqctj0ND3HEA.png?r=ef8"
"Aggretsuko","Resasuke","2eb2cea1-8d6e-11e9-9f0b-0e41a336d5f6","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABTiqSwcx334qU7DCgk6oqbyzeHgytE0j1eIN8DOyxRC9soyl8AGvarlo2_TAmWtdHJoqNAAdAkiRJSGP38GgS45vsSWhOgCsEg.png?r=b3e"
"Aggretsuko","Puko","2eb31cc1-8d6e-11e9-9f0b-0e41a336d5f6","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABY52AUiPo7z9tCWw00ju28_xhgUhm3bhZVorFG0gcjbtR40ON2IeuNEZ4cCBeS1EZfA8qyPeK4Oz7KgpVmS_3Qen1jDT8utj0g.png?r=b03"
"Aggretsuko","Retsuko's Mother","2eb391f0-8d6e-11e9-9f0b-0e41a336d5f6","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABddffwijFrMlSVsjH6OLbBnr_Ozh94dqpCYg9Y-62XPo3bc-LKseBUTOG6Hvj7Ocd1BQVVSfrp6W0zzc5P8Oh_tuj0UPDLRZcg.png?r=fc7"
"Aggretsuko","Karaoke Microphone","2eb31cc0-8d6e-11e9-9f0b-0e41a336d5f6","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABXEBYVZKskgm77dSd6HatSfdPUywUbJVa6Q5ppRihai90iJQfmq9iRM87l_EeyuTPTXw_w0O3d62yr2uGStA4zpVeOvjJSITQg.png?r=283"
"Alice in Borderland","Arisu","7e3938a0-9781-11f0-bacf-0efeea3b99e7","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABdC80itC3KP054_AE0ILSfyr4A40T00jQTWFjloMpt0L4bwdMViAhMkcGssBWlycVV_BYaCy1GBV2OqaOkGSfaUZhGbpjhgM_Q.png?r=ce1"
"Alice in Borderland","Usagi","7e391190-9781-11f0-b19d-121dc0aa5cd5","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABY1l8SJXKp7IYTG3tpmPZG0CcFSvinnRo8zuLdh1CSRKfYg8MVprm93c47WcbZ-hk2pCN8it2Bv-IU_-jHZdXeIU6fOmpOP8IA.png?r=246"
"Alice in Borderland","Banda","7e38ea80-9781-11f0-a6c7-12d683415e5d","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABa4LY1xde5XN_KAMJk0JRePHV0UE7L7dV61iQtnb-oAbb0KHt6Fww_aK8bJRI-C2P8b8kENNDRMNJcCIGzeFmQ5Whzg13BM2cA.png?r=8e4"
